6,82
7,85
8,667
5,276
8,941
9,854
11,071
7,064
9,228
6,094
3,649
8,136
6,357
9,885
5,341
7,589
6,49
13,655
3,687
6,239
4,284
7,791
9,649
11,318
8,369
8,368
1,868
5,265
6,284
4,662
7,152
9,718
3,767
4,981
6,063
4,277
1,107
7,036
0,511
4,86
6,888
7,876
7,18
6,999
10,268
6,419
5,654
9,585
8,968
10,759
4,551
4,714
9,187
2,787
10,396
9,369
12,739
6,348
4,643
8,045
7,04
7,695
10,523
4,231
7,643
9,94
1,087
6,605
7,267
7,558
8,646
10,523
6,127
6,033
4,773
7,581
5,827
10,963
3,502
6,996
4,052
5,781
5,031
10,324
11,22
1,801
9,029
3,703
9,443
5,319
7,209
6,196
9,882
5,915
7,483
3,603
9,778
8,287
4,302
3,608
