2,052
2,77
3,899
0,467
2,822
5,086
6,303
6,105
3,765
5,54
2,69
3,368
2,074
4,982
0,945
4,555
4,502
3,807
3,687
1,471
4,284
3,023
4,578
5,188
3,601
2,516
1,868
3,561
4,415
4,662
2,384
4,815
3,767
4,981
1,295
2,915
1,107
0,771
0,511
4,86
0,234
5,75
2,109
3,544
5,5
0,924
3,655
3,455
2,526
5,991
3,189
2,317
4,284
2,787
4,391
4,601
2,12
1,58
4,643
3,142
5,324
1,543
4,518
4,231
2,875
5,172
1,087
1,837
2,499
2,79
3,878
4,518
5,751
1,265
2,335
1,729
4,258
0,831
3,502
6,442
1,846
2,069
3,327
4,205
6,14
1,801
3,624
2,987
3,404
5,319
1,665
1,75
1,002
4,199
2,715
1,397
5,512
3,519
0,699
2,246
