0,946
0,391
1,789
1,775
1,343
0,616
0,78
0,362
1,754
1,784
1,41
1,388
1,375
0,31
0,902
1,312
1,287
1,409
1,711
0,677
0,549
0,162
1,833
0,979
1,509
1,502
1,359
0,707
1,864
0,906
1,736
1,257
0,92
1,778
1,187
2,148
1,31
0,424
1,623
1,294
1,51
1,549
0,553
1,653
0,844
1,692
1,843
1,055
1,173
0,543
1,662
1,988
0,961
1,988
1,408
1,711
1,214
1,387
1,388
1,415
1,412
1,949
0,83
1,253
1,293
1,047
1,424
2,029
1,341
1,161
1,454
1,729
1,154
0,702
1,746
0,755
1,312
1,73
1,675
1,691
1,026
0,925
1,091
0,538
0,979
1,697
0,541
1,789
1,047
1,286
2,17
1,289
1,051
0,655
1,896
0,206
1,387
0,526
0,925
1,464
