1,287
2,276
2,661
2,918
2,089
3,081
4,194
2,993
1,322
2,37
1,607
2,31
2,547
2,912
3,509
3,488
4,043
3,581
2,66
3,096
2,17
3,317
3,226
3,491
3,21
3,301
4,348
3,239
3,73
3,097
2,351
2,579
3,517
3,06
1,954
1,72
2,054
3,746
3,95
1,687
3,581
1,502
3,458
2,915
3,13
2,877
0,657
1,979
2,52
2,888
3,337
3,117
3,326
2,0
1,68
2,164
1,257
2,342
3,148
1,646
3,211
2,32
2,661
2,738
3,079
1,038
3,16
2,351
2,952
2,74
2,813
2,21
2,279
3,001
2,688
2,552
2,089
2,891
3,234
1,687
2,872
0,639
0,844
1,69
2,74
2,286
1,289
0,69
1,79
1,476
4,088
3,478
3,368
2,965
3,755
2,997
2,13
1,478
2,895
1,593
